iter	Passed	Remaining
468	713	808
469	714	806
470	715	803
471	716	801
472	717	799
473	718	797
474	719	795
475	720	793
476	721	791
477	722	789
478	723	787
479	724	785
480	725	783
481	726	781
482	727	779
483	728	776
484	729	774
485	730	772
486	731	770
487	732	768
488	733	766
489	734	764
490	735	762
491	736	760
492	737	758
493	739	756
494	740	755
495	741	753
496	742	751
497	743	749
498	744	747
499	745	745
500	746	743
501	747	741
502	748	739
503	749	737
504	750	735
505	752	734
506	753	732
507	754	730
508	755	728
509	756	726
510	757	724
511	757	722
512	759	720
513	759	718
514	760	716
515	762	714
516	762	712
517	763	710
518	766	710
519	771	712
520	773	711
521	775	710
522	777	708
523	780	708
524	781	707
525	783	705
526	785	704
527	786	703
528	787	701
529	788	699
530	790	698
531	791	696
532	792	694
533	794	692
534	795	691
535	796	689
536	797	687
537	798	685
538	799	684
539	801	682
540	802	681
541	803	679
542	804	677
543	806	675
544	807	674
545	808	672
546	809	670
547	810	668
548	812	667
549	813	665
550	814	663
551	815	661
552	817	660
553	818	658
554	819	657
555	821	655
556	822	653
557	823	652
558	824	650
559	825	648
560	827	647
561	828	645
562	829	643
563	830	642
564	831	640
565	832	638
566	833	636
567	834	634
568	836	633
569	837	631
570	838	629
571	839	627
572	840	626
573	841	624
574	842	622
575	843	620
576	844	619
577	845	617
578	846	615
579	847	613
580	848	611
581	849	610
582	850	608
583	851	606
584	852	604
585	853	602
586	854	601
587	855	599
588	856	597
589	857	595
590	858	594
591	859	592
592	860	590
593	861	588
594	862	587
595	863	585
596	864	583
597	865	581
598	866	579
599	867	578
600	868	576
601	869	574
602	870	572
603	871	571
604	872	569
605	873	567
606	874	566
607	875	564
608	876	562
609	877	560
610	878	559
611	879	557
612	880	555
613	881	553
614	882	552
615	883	550
616	884	548
617	885	547
618	886	545
619	887	543
620	888	542
621	889	540
622	890	538
623	891	537
624	892	535
625	893	533
626	894	532
627	895	530
628	896	528
629	897	527
630	898	525
631	899	523
632	900	522
633	901	520
634	902	518
635	903	517
636	904	515
637	905	513
638	906	512
639	907	510
640	908	508
641	909	507
642	910	505
643	911	503
644	912	502
645	913	500
646	914	498
647	915	497
648	916	495
649	917	494
650	918	492
651	919	490
652	920	489
653	921	487
654	922	486
655	923	484
656	924	482
657	925	481
658	926	479
659	927	477
660	928	476
661	929	474
662	930	473
663	931	471
664	932	469
665	933	468
666	934	466
667	935	465
668	936	463
669	937	461
670	938	460
671	939	458
672	940	457
673	941	455
674	942	453
675	943	452
676	945	450
677	946	449
678	948	448
679	950	447
680	952	446
681	953	444
682	954	443
683	955	441
684	957	440
685	958	438
686	960	437
687	961	436
688	963	434
689	964	433
690	966	432
691	967	430
692	969	429
693	970	427
694	971	426
695	972	424
696	974	423
697	975	422
698	976	420
699	977	419
700	979	417
701	980	416
702	981	414
703	982	413
704	984	411
705	984	410
706	985	408
707	987	407
708	989	406
709	991	404
710	993	403
711	995	402
712	997	401
713	999	400
714	1001	399
715	1004	398
716	1006	397
717	1008	395
718	1009	394
719	1010	393
720	1012	391
721	1013	390
722	1014	388
723	1016	387
724	1017	385
725	1018	384
726	1019	382
727	1020	381
728	1022	379
729	1023	378
730	1024	376
